商品編號,商品名稱,分類,品牌,價格,原價,評分,評論數,庫存,出貨地,免運,標籤
P001,經典珍珠奶茶材料包,飲料沖泡,巷口茶舖,199,249,4.7,328,45,臺中,是,熱銷
P002,無糖冷泡茶包20入,飲料沖泡,山嵐茶研,259,299,4.8,512,83,南投,是,回購
P003,濾掛咖啡綜合組,飲料沖泡,早安咖啡,349,420,4.6,287,36,嘉義,是,辦公室
P004,黑糖薑茶隨身包,飲料沖泡,暖暖日常,219,260,4.5,156,67,臺南,否,冬季
P005,蜂蜜檸檬濃縮飲,飲料沖泡,小農好味,299,360,4.7,241,29,高雄,是,人氣
P006,燕麥奶六入組,飲料沖泡,日日健康,399,450,4.4,198,51,桃園,是,早餐
P007,臺灣高山烏龍茶,飲料沖泡,山嵐茶研,580,680,4.9,634,18,南投,是,送禮
P008,可可歐蕾沖泡包,飲料沖泡,暖暖日常,189,230,4.3,122,74,新北,否,療癒
P009,椒麻拌麵四入,泡麵乾糧,深夜食堂,239,280,4.8,845,62,臺北,是,宵夜
P010,麻油雞麵線三入,泡麵乾糧,灶腳滋味,299,350,4.6,376,31,彰化,是,暖胃
P011,素食香菇乾拌麵,泡麵乾糧,日日蔬食,229,260,4.5,219,48,臺中,否,素食
P012,臺南擔仔麵五入,泡麵乾糧,府城老店,269,320,4.7,591,26,臺南,是,經典
P013,酸辣粉絲六入,泡麵乾糧,辣個味道,199,240,4.4,433,57,新北,是,酸辣
P014,雞絲麵家庭號,泡麵乾糧,古早好味,179,210,4.3,164,91,彰化,否,家庭
P015,番茄牛肉即食麵,泡麵乾糧,深夜食堂,279,330,4.6,308,42,臺北,是,濃郁
P016,低卡蒟蒻麵組合,泡麵乾糧,日日健康,329,399,4.2,187,38,桃園,是,低卡
P017,鳳梨酥十二入,零食甜點,島嶼點心,420,480,4.8,932,35,臺北,是,送禮
P018,手工蛋捲禮盒,零食甜點,阿嬤廚房,380,450,4.7,671,22,嘉義,是,酥脆
P019,鹹蛋黃洋芋片,零食甜點,追劇良伴,129,159,4.5,1245,103,新北,否,追劇
P020,黑糖珍珠雪花餅,零食甜點,島嶼點心,249,299,4.6,438,46,臺中,是,人氣
P021,芒果乾大包裝,零食甜點,小農好味,299,350,4.9,783,19,臺南,是,天然
P022,海苔脆片三入,零食甜點,日日健康,169,199,4.4,357,88,高雄,否,低卡
P023,牛軋糖綜合口味,零食甜點,阿嬤廚房,329,390,4.7,526,27,嘉義,是,伴手禮
P024,爆米花派對桶,零食甜點,追劇良伴,199,250,4.3,296,64,桃園,是,聚會
P025,人體工學滑鼠,辦公用品,效率玩家,699,899,4.6,887,32,新北,是,上班族
P026,靜音無線鍵盤,辦公用品,效率玩家,890,1090,4.5,642,24,桃園,是,靜音
