id,name,category,brand,price,original_price,rating,review_count,stock,ship_from,free_shipping,tag,discount_percent
P021,芒果乾大包裝,零食甜點,小農好味,299,350,4.9,783,19,臺南,True,天然,14.6
P009,椒麻拌麵四入,泡麵乾糧,深夜食堂,239,280,4.8,845,62,臺北,True,宵夜,14.6
P002,無糖冷泡茶包20入,飲料沖泡,山嵐茶研,259,299,4.8,512,83,南投,True,回購,13.4
P069,線上課程規劃手帳,學習進修,每日進步,359,450,4.8,607,42,新竹,True,自律,20.2
P017,鳳梨酥十二入,零食甜點,島嶼點心,420,480,4.8,932,35,臺北,True,送禮,12.5
P033,不鏽鋼保溫杯,居家生活,日日好物,499,650,4.8,963,39,臺中,True,保溫,23.2
P001,經典珍珠奶茶材料包,飲料沖泡,巷口茶舖,199,249,4.7,328,45,臺中,True,熱銷,20.1
P012,臺南擔仔麵五入,泡麵乾糧,府城老店,269,320,4.7,591,26,臺南,True,經典,15.9
P056,折疊桌面手機架,手機周邊,桌面研究所,279,350,4.7,935,48,彰化,True,視訊,20.3
P070,面試問題整理本,學習進修,職涯補給,279,350,4.7,442,63,新北,True,求職,20.3
P005,蜂蜜檸檬濃縮飲,飲料沖泡,小農好味,299,360,4.7,241,29,高雄,True,人氣,16.9
P049,編織充電線二入,手機周邊,電力滿格,299,390,4.7,1398,112,新北,True,耐用,23.3
P066,資料分析練習卡,學習進修,學習充電站,299,380,4.7,483,54,臺中,True,面試,21.3
P023,牛軋糖綜合口味,零食甜點,阿嬤廚房,329,390,4.7,526,27,嘉義,True,伴手禮,15.6
P018,手工蛋捲禮盒,零食甜點,阿嬤廚房,380,450,4.7,671,22,嘉義,True,酥脆,15.6
P036,香氛擴香組,居家生活,慢活香氣,450,550,4.7,519,21,臺南,True,療癒,18.2
P060,防盜證件隨身包,通勤旅行,島嶼旅行,459,580,4.7,391,29,臺中,True,防盜,20.9
P027,筆電增高散熱架,辦公用品,桌面研究所,499,650,4.7,731,41,臺中,True,護頸,23.2
